sign,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_finger_mcp_x,index_finger_mcp_y,index_finger_pip_x,index_finger_pip_y,index_finger_dip_x,index_finger_dip_y,index_finger_tip_x,index_finger_tip_y,middle_finger_mcp_x,middle_finger_mcp_y,middle_finger_pip_x,middle_finger_pip_y,middle_finger_dip_x,middle_finger_dip_y,middle_finger_tip_x,middle_finger_tip_y,ring_finger_mcp_x,ring_finger_mcp_y,ring_finger_pip_x,ring_finger_pip_y,ring_finger_dip_x,ring_finger_dip_y,ring_finger_tip_x,ring_finger_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
0,0.0,0.0,-0.2988505747126437,-0.08812260536398467,-0.5708812260536399,-0.2720306513409962,-0.7969348659003831,-0.41379310344827586,-1.0,-0.4444444444444444,-0.5478927203065134,-0.7088122605363985,-0.7509578544061303,-0.685823754789272,-0.8045977011494253,-0.42911877394636017,-0.8314176245210728,-0.17624521072796934,-0.3065134099616858,-0.7739463601532567,-0.4444444444444444,-0.5862068965517241,-0.4367816091954023,-0.19923371647509577,-0.4099616858237548,0.0842911877394636,-0.038314176245210725,-0.7509578544061303,-0.16475095785440613,-0.5517241379310345,-0.18007662835249041,-0.19540229885057472,-0.1724137931034483,0.07279693486590039,0.23371647509578544,-0.685823754789272,0.13026819923371646,-0.5747126436781609,0.07279693486590039,-0.3524904214559387,0.04597701149425287,-0.19157088122605365
0,0.0,0.0,-0.31893687707641194,-0.05647840531561462,-0.6079734219269103,-0.3388704318936877,-0.7940199335548173,-0.5581395348837209,-1.0,-0.6877076411960132,-0.49169435215946844,-0.7408637873754153,-0.6179401993355482,-0.7242524916943521,-0.5647840531561462,-0.43853820598006643,-0.5149501661129569,-0.2059800664451827,-0.26245847176079734,-0.7906976744186046,-0.3853820598006645,-0.6877076411960132,-0.33222591362126247,-0.3488372093023256,-0.2823920265780731,-0.08637873754152824,-0.023255813953488372,-0.770764119601329,-0.132890365448505,-0.6578073089700996,-0.11627906976744186,-0.33222591362126247,-0.09302325581395349,-0.07308970099667775,0.2059800664451827,-0.717607973421927,0.10631229235880399,-0.6378737541528239,0.08305647840531562,-0.3853820598006645,0.07973421926910298,-0.17940199335548174
0,0.0,0.0,-0.3241590214067278,-0.03058103975535168,-0.6299694189602446,-0.3363914373088685,-0.8042813455657493,-0.5871559633027523,-1.0,-0.7431192660550459,-0.5015290519877675,-0.7186544342507645,-0.599388379204893,-0.7339449541284404,-0.5321100917431193,-0.45565749235474007,-0.46788990825688076,-0.22935779816513763,-0.26605504587155965,-0.7737003058103975,-0.3669724770642202,-0.7186544342507645,-0.2996941896024465,-0.38837920489296635,-0.2415902140672783,-0.1345565749235474,-0.021406727828746176,-0.7584097859327217,-0.10703363914373089,-0.691131498470948,-0.07339449541284404,-0.363914373088685,-0.05198776758409786,-0.11314984709480122,0.21100917431192662,-0.7155963302752294,0.1345565749235474,-0.6605504587155964,0.11926605504587157,-0.382262996941896,0.11314984709480122,-0.1743119266055046
0,0.0,0.0,-0.33136094674556216,-0.05621301775147929,-0.6301775147928994,-0.3343195266272189,-0.8076923076923077,-0.5798816568047337,-1.0,-0.742603550295858,-0.4911242603550296,-0.7396449704142012,-0.6005917159763313,-0.7544378698224852,-0.5325443786982249,-0.48520710059171596,-0.46745562130177515,-0.25443786982248523,-0.257396449704142,-0.7958579881656804,-0.3520710059171598,-0.727810650887574,-0.28402366863905326,-0.40828402366863903,-0.23372781065088757,-0.15384615384615385,-0.020710059171597635,-0.7840236686390533,-0.09467455621301775,-0.6952662721893491,-0.0650887573964497,-0.3816568047337278,-0.05325443786982249,-0.1301775147928994,0.19822485207100593,-0.7307692307692307,0.1390532544378698,-0.665680473372781,0.12721893491124261,-0.40236686390532544,0.11242603550295859,-0.1952662721893491
0,0.0,0.0,-0.3323615160349854,-0.06705539358600583,-0.6326530612244898,-0.34110787172011664,-0.8104956268221575,-0.5860058309037901,-1.0,-0.7463556851311953,-0.5102040816326531,-0.749271137026239,-0.6180758017492711,-0.7638483965014577,-0.5539358600583091,-0.4956268221574344,-0.4897959183673469,-0.2653061224489796,-0.27113702623906705,-0.8104956268221575,-0.37317784256559766,-0.7463556851311953,-0.30903790087463556,-0.42565597667638483,-0.2536443148688047,-0.17201166180758018,-0.03498542274052478,-0.8017492711370262,-0.11661807580174927,-0.7113702623906706,-0.08746355685131195,-0.39067055393586003,-0.0728862973760933,-0.13994169096209913,0.18658892128279883,-0.749271137026239,0.11661807580174927,-0.673469387755102,0.10495626822157435,-0.40524781341107874,0.09329446064139942,-0.19825072886297376
0,0.0,0.0,-0.3247863247863248,-0.07122507122507123,-0.6267806267806267,-0.3333333333333333,-0.811965811965812,-0.5641025641025641,-1.0,-0.7207977207977208,-0.5156695156695157,-0.7264957264957265,-0.6210826210826211,-0.7435897435897436,-0.5470085470085471,-0.48717948717948717,-0.4700854700854701,-0.25925925925925924,-0.28205128205128205,-0.7863247863247863,-0.38746438746438744,-0.7350427350427351,-0.31339031339031337,-0.42735042735042733,-0.2564102564102564,-0.18233618233618235,-0.04843304843304843,-0.7806267806267806,-0.13675213675213677,-0.7037037037037037,-0.10256410256410256,-0.39886039886039887,-0.08262108262108261,-0.15954415954415954,0.1737891737891738,-0.7321937321937322,0.09401709401709402,-0.6666666666666666,0.08547008547008547,-0.41025641025641024,0.07977207977207977,-0.21367521367521367
0,0.0,0.0,-0.32653061224489793,-0.07871720116618076,-0.6297376093294461,-0.3469387755102041,-0.8104956268221575,-0.5860058309037901,-1.0,-0.7434402332361516,-0.5160349854227405,-0.7288629737609329,-0.6151603498542274,-0.760932944606414,-0.5364431486880467,-0.49854227405247814,-0.4606413994169096,-0.26822157434402333,-0.27405247813411077,-0.7959183673469388,-0.37026239067055394,-0.7551020408163265,-0.29737609329446063,-0.43731778425655976,-0.24198250728862974,-0.18658892128279883,-0.03498542274052478,-0.793002915451895,-0.11370262390670553,-0.7259475218658892,-0.08454810495626822,-0.4110787172011662,-0.06997084548104957,-0.1661807580174927,0.1924198250728863,-0.7521865889212828,0.12536443148688048,-0.6967930029154519,0.11078717201166181,-0.43440233236151604,0.09620991253644315,-0.23615160349854228
0,0.0,0.0,-0.32335329341317365,-0.08682634730538923,-0.6377245508982036,-0.3772455089820359,-0.8143712574850299,-0.6317365269461078,-1.0,-0.8083832335329342,-0.5059880239520959,-0.781437125748503,-0.6107784431137725,-0.7994011976047904,-0.5389221556886228,-0.5299401197604791,-0.45808383233532934,-0.3023952095808383,-0.26047904191616766,-0.8473053892215568,-0.36227544910179643,-0.7964071856287425,-0.2934131736526946,-0.47305389221556887,-0.23353293413173654,-0.20958083832335328,-0.014970059880239521,-0.844311377245509,-0.10778443113772455,-0.7634730538922155,-0.07784431137724551,-0.44610778443113774,-0.06287425149700598,-0.19760479041916168,0.2155688622754491,-0.7964071856287425,0.1317365269461078,-0.7245508982035929,0.11377245508982035,-0.46107784431137727,0.11077844311377245,-0.26646706586826346
0,0.0,0.0,-0.3333333333333333,-0.07142857142857142,-0.6398809523809523,-0.37202380952380953,-0.8095238095238095,-0.6369047619047619,-1.0,-0.7976190476190477,-0.5148809523809523,-0.7172619047619048,-0.6101190476190477,-0.7827380952380952,-0.5416666666666666,-0.5059523809523809,-0.47023809523809523,-0.27380952380952384,-0.26785714285714285,-0.7797619047619048,-0.36904761904761907,-0.7857142857142857,-0.3125,-0.46130952380952384,-0.2619047619047619,-0.20535714285714285,-0.020833333333333332,-0.7827380952380952,-0.1130952380952381,-0.7648809523809523,-0.09523809523809523,-0.44047619047619047,-0.08333333333333333,-0.19047619047619047,0.20833333333333334,-0.7470238095238095,0.11607142857142858,-0.7291666666666666,0.09523809523809523,-0.46130952380952384,0.08928571428571429,-0.25595238095238093
0,0.0,0.0,-0.331306990881459,-0.07598784194528875,-0.6382978723404256,-0.3829787234042553,-0.8054711246200608,-0.6534954407294833,-1.0,-0.8115501519756839,-0.5075987841945289,-0.7416413373860182,-0.6109422492401215,-0.7963525835866262,-0.5379939209726444,-0.5167173252279635,-0.46504559270516715,-0.2857142857142857,-0.2613981762917933,-0.7963525835866262,-0.3677811550151976,-0.7933130699088146,-0.3069908814589666,-0.46504559270516715,-0.25227963525835867,-0.21580547112462006,-0.015197568389057751,-0.790273556231003,-0.11246200607902736,-0.7750759878419453,-0.08814589665653495,-0.44984802431610943,-0.06990881458966565,-0.20364741641337386,0.21580547112462006,-0.7477203647416414,0.12462006079027356,-0.7355623100303952,0.1033434650455927,-0.46808510638297873,0.10030395136778116,-0.270516717325228
